node_id,latitude,longitude,height_m
0,45.9324,6.735993,20
1,45.93205,6.73552,22
2,45.9317,6.73505,24
3,45.93135,6.73458,27
4,45.931,6.73411,30
5,45.93065,6.73364,33
6,45.9303,6.73325,36
7,45.92995,6.73305,39
8,45.9296,6.7331,42
9,45.92925,6.7332,45
10,45.9289,6.7333,48
11,45.92855,6.7334,51
12,45.9282,6.73345,54
13,45.92785,6.73348,56
14,45.9275,6.7335,58
15,45.92715,6.7334,60
16,45.9268,6.7332,61
17,45.92645,6.73295,63
18,45.9261,6.7327,64
19,45.92575,6.73245,65
20,45.9254,6.7322,66
21,45.925,6.7319,66
22,45.9246,6.7316,66
23,45.9242,6.73125,66
24,45.9238,6.7309,65
25,45.9234,6.7306,65
26,45.923,6.7303,64
27,45.9226,6.73,63
28,45.9222,6.7297,62
29,45.9218,6.7294,60
30,45.9214,6.7291,58
31,45.921,6.7288,56
32,45.9206,6.7285,54
33,45.9202,6.7282,51
34,45.9198,6.7279,48
35,45.9195,6.7277,45
36,45.9193,6.7275,42
37,45.91915,6.7273,39
38,45.919,6.7271,36
39,45.9189,6.72695,33
40,45.9188,6.7268,30
41,45.91872,6.7267,28
42,45.91866,6.7266,26
43,45.91863,6.72652,24
44,45.91861,6.72645,23
45,45.9186,6.72638,22
46,45.91859,6.72632,21
47,45.91858,6.72628,21
48,45.91858,6.72624,20
49,45.9188,6.726205,20
